ID,RI,QA-check,Color-check,Purity-Level,Depth-percentage,Width-of-iron-top-width,Axis-x,Axis-y,Axis-z,Price-in-dollars
uid_14804,0.62,Ideal,D,SI1,62.2,55.0,5.45,5.51,3.41,1959
uid_6134,0.5,Premium,F,VVS2,60.9,58.0,5.13,,3.11,2016
uid_24469,1.52,Premium,H,VS1,61.4,58.0,7.3,7.44,4.55,11516
uid_11809,3.4662709275373267,Ideal,G,VS2,62.2,55.0,7.6,7.57,4.72,9425
uid_25500,0.33,Ideal,H,VS2,60.7,57.0,,4.45,2.71,668
uid_34848,1.01,Ideal,H,SI1,61.2,58.0,6.42,6.49,3.95,4943
uid_24464,0.36,Ideal,E,,61.8,56.0,,4.58,2.82,817
uid_18302,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,334
uid_28975,1.21,Premium,E,SI1,63.0,57.0,6.75,6.7,4.24,6261
uid_15607,3.1386487123424605,Ideal,H,VS2,61.9,57.0,6.42,6.48,3.99,5028
uid_38816,1.04,Premium,H,VS2,58.7,62.0,6.67,6.65,3.91,4477
uid_50771,0.6,Premium,F,,61.1,58.0,5.41,5.45,3.32,2560
uid_12110,0.5,Good,E,VS2,63.8,54.0,5.05,5.07,3.23,1752
uid_40352,0.42,Very Good,E,VVS2,62.1,56.0,4.79,4.82,2.98,1167
uid_221,1.02,Premium,D,VS2,62.5,58.0,6.4,6.37,3.99,7643
uid_45146,0.9,Very Good,G,VVS2,62.1,57.0,6.14,6.2,3.84,5653
uid_8466,1.0,Very Good,F,SI1,58.1,63.0,6.45,6.36,3.72,4586
uid_17468,0.33,Very Good,D,VVS1,61.2,59.0,4.4,4.43,2.7,948
uid_31176,0.71,Ideal,H,SI1,61.3,58.0,5.73,5.78,3.53,2368
uid_24585,0.79,Ideal,D,SI1,61.5,56.0,5.91,5.96,,2896
uid_38325,0.35,Ideal,D,SI2,62.4,57.0,4.5,,,625
uid_8983,0.3,Ideal,F,SI1,62.1,55.0,4.31,4.35,2.69,475
uid_234,1.21,Ideal,E,VS2,61.8,53.0,6.86,6.9,4.25,10556
uid_31277,2.0,Very Good,J,VS2,60.7,60.0,8.05,,4.92,13542
uid_32700,1.01,Good,D,SI1,63.9,60.0,6.32,6.29,4.03,5147
uid_40766,0.9,Premium,G,SI1,62.7,58.0,6.13,6.08,3.83,3774
uid_4415,-1.5458059229929644,Ideal,G,VS2,62.4,55.0,4.3,4.32,2.69,-14298
uid_17911,1.06,Premium,I,SI2,60.9,58.0,6.6,6.56,4.01,4096
uid_24847,0.69,Very Good,G,VVS1,60.8,55.0,5.74,5.77,3.5,3323
uid_50388,0.57,Good,E,SI2,58.5,61.0,5.4,5.43,3.17,1214
uid_31694,1.09,Premium,I,SI1,61.6,61.0,6.64,6.57,4.07,3968
uid_32446,0.32,Premium,E,VS2,62.6,58.0,4.36,4.4,2.74,702
uid_50026,1.5,Good,G,VS2,63.3,62.0,7.08,7.2,4.52,11577
uid_15480,0.7,Very Good,F,VS2,62.4,59.0,5.64,,3.54,2400
uid_10594,0.9,Very Good,G,VS2,59.0,58.0,,,3.7,3910
uid_3587,1.25,Ideal,G,VVS1,61.3,56.0,6.95,6.98,4.28,-1829
uid_12301,0.71,Very Good,H,SI1,61.5,56.0,5.71,,3.53,2471
uid_16717,-0.8794351402029927,Premium,G,,59.6,60.0,6.99,6.94,4.15,8293
uid_47113,0.32,Very Good,F,VVS2,63.8,55.0,4.33,4.39,2.78,701
uid_32320,0.8,Ideal,I,SI1,59.4,58.0,6.07,6.09,3.61,2927
uid_6673,0.9,Very Good,E,VS2,63.0,58.0,6.13,6.16,3.87,4707
uid_32783,1.01,Premium,D,,61.8,58.0,6.42,6.37,3.95,6075
uid_12893,-0.6363538954706378,Premium,F,SI1,62.6,60.0,6.3,6.32,3.95,5197
uid_53099,0.7,Ideal,E,VS2,62.2,55.0,5.67,5.71,3.54,2981
uid_24834,1.52,Very Good,I,SI1,63.7,58.0,7.23,7.3,4.63,8794
uid_47250,0.7,Premium,F,SI1,61.7,61.0,5.7,5.67,3.51,2348
uid_24071,0.3,Ideal,F,VVS1,61.7,57.0,4.28,4.31,2.65,1041
uid_50816,0.33,Ideal,H,VVS2,61.9,57.0,4.41,4.44,2.74,666
uid_21735,0.51,Very Good,E,SI1,61.6,53.0,5.16,5.19,3.19,1315
uid_46687,1.36,Premium,J,VS2,58.4,59.0,7.4,7.27,4.28,6157
uid_5315,-1.5432574257834442,Ideal,E,VS2,61.2,56.0,5.16,,3.18,1689
uid_16340,0.71,Very Good,I,SI1,58.9,59.0,5.78,5.84,3.42,2141
uid_11621,1.65,Premium,D,SI2,61.6,58.0,7.59,7.55,4.66,11712
uid_21723,0.38,Ideal,I,VVS1,61.6,56.0,,4.71,2.89,791
uid_27655,0.56,Good,D,SI2,63.2,54.0,5.24,5.26,,1258
uid_18891,0.4280638802363781,Premium,F,SI2,58.2,61.0,8.5,8.45,4.93,17742
uid_11764,0.31,Very Good,D,SI1,63.0,55.0,4.32,4.34,2.73,571
uid_46576,0.5,Ideal,F,SI2,61.3,58.0,5.1,5.12,3.13,1020
uid_10970,0.57,Very Good,G,VS2,63.0,58.0,5.24,,3.31,1617
uid_31266,0.32,Premium,E,VVS1,60.8,58.0,4.41,4.38,,1020
uid_5252,1.15,Ideal,J,VS2,60.7,55.0,,6.83,4.13,5125
uid_50695,2.02,Good,I,SI2,58.2,57.0,8.31,8.35,,14027
uid_33938,0.27,Very Good,G,VVS2,62.0,56.0,4.14,4.17,2.57,504
uid_36129,0.51,Ideal,H,,61.8,55.0,5.15,5.18,3.19,1776
uid_15791,1.9296995058110598,Good,E,SI1,63.4,56.0,4.23,4.25,2.69,526
uid_33747,1.0,Ideal,H,SI1,61.9,57.0,6.43,,3.97,4872
uid_24451,0.5,Good,F,VS2,63.6,58.0,5.02,5.05,3.2,1333
uid_46562,1.15,Ideal,G,SI2,62.3,56.0,6.75,6.67,4.18,4927
uid_6996,0.58,Very Good,F,VS1,61.5,60.0,5.32,5.38,,2001
uid_1845,0.7,Good,F,VS1,59.4,62.0,5.71,5.76,3.4,2759
uid_32008,-1.159059167476569,Premium,H,SI2,62.5,60.0,5.16,5.18,3.23,1015
uid_51908,0.5,Fair,F,I1,68.3,58.0,4.91,4.78,3.32,-12858
uid_22972,0.41,Ideal,F,SI1,61.1,56.0,4.79,4.83,2.94,870
uid_53184,2.6255939946662767,Ideal,E,SI1,62.5,54.0,6.62,6.63,4.13,6737
uid_37,1.0,Premium,H,SI1,62.2,51.0,6.47,6.4,4.0,3511
uid_6114,1.6,Ideal,F,VS1,62.0,56.0,7.47,7.52,4.65,18780
uid_21488,0.51,Ideal,G,VS1,60.2,56.0,5.18,5.24,3.14,1632
uid_34026,1.0,Very Good,G,VS2,63.0,59.0,6.36,6.4,4.02,5702
uid_43752,0.4,Premium,F,VVS2,62.2,59.0,4.7,4.65,,1163
uid_2934,0.79,Very Good,D,VS1,58.8,60.0,6.03,6.08,3.56,3798
uid_10847,0.31,Very Good,I,VVS1,62.8,55.0,4.33,4.36,2.73,571
uid_28275,0.7,Very Good,G,VS1,61.7,59.0,5.66,5.69,3.5,2676
uid_38501,0.31,Premium,G,VS2,62.4,59.0,,,2.72,544
uid_46793,0.5,Ideal,I,VS2,62.5,55.0,,5.09,3.17,1244
uid_45697,0.72,Ideal,G,VS1,60.4,57.0,5.81,5.84,3.52,3478
uid_53860,0.31,Good,E,SI1,63.5,57.0,,,2.73,544
uid_9309,1.22,Ideal,H,,61.7,56.0,6.87,6.93,4.26,5502
uid_52470,0.39,Very Good,J,VS1,63.1,56.0,4.7,4.62,2.94,790
uid_43390,0.3,Good,F,SI2,63.5,57.0,4.22,4.25,2.69,394
uid_49927,0.23,Very Good,E,VVS2,61.6,60.0,3.97,3.99,2.45,505
uid_40867,0.4,Very Good,E,VVS2,62.8,58.0,4.68,4.71,,1066
uid_37749,1.16,Very Good,J,VS2,63.7,56.0,,6.68,4.24,4323
uid_27532,1.01,Very Good,D,SI2,58.3,59.0,6.63,6.67,3.88,4588
uid_6261,0.51,Premium,D,VS2,62.0,59.0,5.12,5.08,3.16,1807
uid_16759,1.02,Ideal,H,SI1,61.2,56.0,6.49,6.51,3.98,5257
uid_13447,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4234
uid_51517,2.247130444371163,Ideal,D,VS2,62.8,57.0,4.68,4.72,2.95,895
uid_22939,1.13,Ideal,E,SI1,62.2,55.0,,6.69,4.15,6563
uid_48087,1.0,Ideal,G,SI2,60.3,57.0,6.51,6.45,3.91,17196
uid_20384,0.83,Premium,J,,59.3,59.0,6.17,6.1,3.64,2022
uid_36040,1.05,Ideal,H,VS2,61.7,57.0,6.52,6.55,,5728
uid_16823,1.13,Premium,E,SI1,60.8,58.0,6.77,6.71,4.1,5179
uid_16083,1.02,Ideal,H,,61.9,57.0,6.4,6.46,3.98,4924
uid_42012,1.2,Ideal,J,SI1,62.3,56.0,6.77,6.81,4.23,4830
uid_25848,0.3,Ideal,D,SI1,62.1,54.0,4.31,4.35,2.69,552
uid_8722,0.56,Ideal,D,VS2,62.2,56.0,5.28,,3.27,2066
uid_20623,0.54,Ideal,H,SI1,61.1,56.0,5.25,5.27,3.21,1268
uid_5025,1.03,Ideal,G,SI1,61.1,57.0,6.54,,4.01,5147
uid_32080,0.54,Ideal,G,VS1,61.4,57.0,5.23,5.2,3.2,1684
uid_2858,0.51,Very Good,E,VS1,61.6,59.0,5.1,5.12,3.15,1778
uid_6062,0.31,Ideal,D,SI1,61.5,55.0,4.38,,2.7,692
uid_8175,1.2,Ideal,H,SI1,60.8,57.0,6.9,,4.19,6485
uid_18724,1.5,Ideal,D,VS2,62.8,53.5,7.27,7.33,4.58,15996
uid_30981,2.5942916342037234,Very Good,H,SI2,63.4,55.0,5.59,,3.56,2094
uid_49484,0.32,Ideal,G,,61.3,55.0,4.46,4.38,2.71,733
uid_15577,1.51,Premium,G,VS2,61.2,61.0,7.44,7.33,4.52,13194
uid_40840,1.02,Ideal,E,SI1,61.9,55.0,6.49,6.46,4.01,5806
uid_10271,0.4,Ideal,I,SI1,61.2,55.0,4.77,4.8,2.93,692
uid_8486,0.32,Ideal,G,VS2,62.5,56.0,4.38,4.42,2.75,561
uid_41354,0.3,Premium,E,SI1,61.7,56.0,4.29,4.27,2.64,675
uid_32611,0.32,Premium,G,VS1,62.5,60.0,4.35,4.29,2.7,828
uid_33149,0.38,Good,E,VVS1,62.4,64.0,4.59,4.61,2.87,904
uid_28441,0.32,Ideal,D,VS2,62.4,57.0,,4.34,2.72,972
uid_41432,1.72,Premium,H,SI1,62.9,58.0,7.63,7.59,,13078
uid_1161,0.9,Very Good,E,VS2,62.2,56.0,6.12,6.17,3.82,4707
uid_28290,1.08,Very Good,I,SI1,60.5,60.0,6.61,,4.02,4276
uid_18587,2.0,Fair,H,SI1,65.6,58.0,7.92,7.76,5.15,15762
uid_17724,0.32,Ideal,F,VS2,61.4,55.0,4.43,4.46,2.73,781
uid_46436,1.59,Good,F,,63.6,57.0,7.43,7.39,4.71,9100
uid_28028,0.38,Premium,I,VS2,62.5,58.0,4.58,4.61,2.87,633
uid_16864,1.01,Premium,G,SI1,62.2,58.0,6.42,6.4,3.99,5006
uid_46858,0.32,Premium,F,SI1,62.7,57.0,4.4,4.37,,684
uid_32357,0.71,Very Good,H,VS2,59.2,63.0,5.85,5.81,3.45,2450
uid_49701,0.38,Ideal,H,VVS2,62.1,53.9,4.64,4.69,2.9,832
uid_18131,0.76,Ideal,H,SI1,61.4,55.0,5.82,5.9,3.6,3050
uid_5558,0.43,Premium,G,VS2,61.3,58.0,,4.83,2.97,1113
uid_41102,-1.1791096914012438,Very Good,H,VS1,62.6,57.0,5.64,5.73,3.56,-10281
uid_19368,2.6587618849605414,Good,G,VS2,63.6,59.0,5.94,,,3312
uid_46572,1.0,Very Good,D,,63.2,59.0,6.29,6.4,4.01,5320
uid_7588,0.73,Premium,F,,62.7,56.0,5.75,5.73,3.6,2961
uid_23472,-1.044860854586501,Ideal,E,VVS2,61.4,59.0,4.71,4.74,2.9,-23475
uid_8923,0.3,Very Good,E,VVS2,63.2,56.0,4.23,,2.69,622
uid_25292,0.81,Premium,G,VS2,62.0,58.0,5.95,5.92,3.68,2994
uid_44039,0.47,Premium,I,SI2,61.5,62.0,5.01,4.95,3.06,814
uid_22276,0.53,Ideal,G,VS2,60.4,57.0,5.27,5.23,3.17,1607
uid_25549,0.42,Very Good,G,VS1,60.6,58.0,4.82,,2.96,921
uid_32901,0.3,Very Good,D,VS1,61.2,55.0,4.32,4.34,2.65,610
uid_10592,0.51,Very Good,H,SI1,61.0,55.0,5.18,5.21,3.17,1698
uid_18085,0.44,Premium,G,VVS2,61.3,60.0,4.88,,3.01,1081
uid_24953,2.6739066024642826,Ideal,E,SI1,59.9,56.0,5.86,5.8,3.49,2704
uid_25679,0.28,Very Good,E,VS1,60.2,58.0,4.23,4.27,2.56,487
uid_2968,1.43,Very Good,D,SI1,63.5,56.0,7.24,7.09,4.55,9450
uid_34852,0.6,Ideal,D,,61.9,54.9,5.4,5.43,3.35,2527
uid_23013,0.91,Premium,F,SI2,62.6,58.0,6.14,6.09,3.83,-8969
uid_51868,-0.9980677347481373,Ideal,D,VS1,61.7,57.0,5.71,5.74,3.53,3419
uid_4393,1.23,Ideal,H,SI2,61.4,54.0,6.95,6.94,4.26,5641
uid_39175,0.5,Good,F,VS2,60.9,60.4,5.13,5.2,3.14,1565
uid_32943,0.43,Ideal,D,SI2,62.6,56.0,4.88,4.84,3.04,919
uid_19658,2.01,Premium,H,SI1,62.7,59.0,8.03,8.08,,17688
uid_42838,1.02,Ideal,H,SI2,58.8,57.0,6.61,6.55,3.87,3142
uid_22094,3.5043767595563144,Very Good,H,SI1,59.4,61.0,7.73,7.78,4.61,11146
uid_11063,1.01,Very Good,H,VS1,60.9,55.0,6.53,6.57,3.99,5687
uid_31959,0.77,Ideal,F,,62.0,56.0,5.92,5.86,,2107
uid_38535,0.54,Ideal,F,VVS2,61.9,56.0,5.2,5.23,3.23,2168
uid_40369,1.28,Ideal,E,VS1,62.2,55.0,6.94,6.99,4.33,12465
uid_13498,0.31,Ideal,F,VS1,61.2,57.0,4.36,4.39,2.68,695
uid_9461,0.91,Very Good,D,SI1,59.3,58.0,6.33,6.38,3.77,4253
uid_39631,0.36,Ideal,D,VVS2,61.6,57.0,4.59,4.56,2.82,1114
uid_41020,1.68,Very Good,G,VS2,62.7,58.0,7.51,7.54,4.72,14192
uid_39548,0.44,Premium,G,SI1,61.0,60.0,4.93,4.88,2.99,990
uid_34747,0.3,Ideal,E,,61.5,55.0,4.33,4.29,2.65,844
uid_12155,0.33,Premium,I,VVS2,61.0,59.0,4.44,4.41,2.7,743
uid_25868,-1.8599292045224978,Premium,I,SI2,60.6,57.0,7.78,7.71,4.69,9760
uid_47005,1.02,Very Good,J,SI2,63.3,56.0,6.38,6.42,4.05,3745
uid_45921,-0.9433149923577171,Ideal,H,,61.2,57.0,6.42,6.45,3.94,4260
uid_7839,0.79,Premium,H,VS2,61.1,59.0,5.96,5.93,3.63,-9952
uid_49443,0.31,Very Good,H,VVS2,62.8,57.0,4.3,4.33,2.71,625
uid_36087,0.51,Premium,F,,62.7,59.0,5.04,5.07,3.17,1402
uid_10478,1.5,Good,J,SI2,63.6,57.0,7.3,7.23,4.62,6750
uid_3733,0.75,Premium,H,VS2,62.8,56.0,5.8,5.76,3.63,2553
uid_42189,0.55,Ideal,E,SI1,61.7,56.0,5.24,5.29,3.25,1551
uid_39673,1.17,Ideal,G,VVS1,61.9,56.0,6.73,6.78,4.18,9799
uid_47758,0.81,Premium,G,VS1,62.3,56.0,5.95,5.89,,3266
uid_3305,0.42,Premium,E,SI1,62.3,58.0,,4.76,2.98,992
uid_37870,1.56,Fair,G,SI2,64.8,59.0,7.38,7.19,4.72,7950
uid_28779,0.3,Ideal,E,VVS2,61.4,56.0,4.33,4.37,2.67,949
uid_48951,0.32,Ideal,G,,62.2,54.0,4.42,4.45,2.76,918
uid_3140,1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,4788
uid_9169,1.0,Good,J,VS2,62.0,61.0,6.36,6.45,3.97,3835
uid_2285,0.7,Ideal,F,SI1,59.8,55.0,5.83,5.75,,2665
uid_37027,1.15,Good,H,SI1,60.2,61.0,6.74,6.84,4.09,5005
uid_48620,-1.6069942945164015,Very Good,H,VS1,63.1,57.0,4.26,4.24,2.68,675
uid_51894,1.59,Premium,H,VVS2,63.0,58.0,7.48,7.43,4.7,12409
uid_23330,0.32,Very Good,G,VS2,62.6,58.0,4.37,4.39,2.74,561
uid_52990,0.35,Ideal,G,IF,61.9,54.0,4.56,,2.83,1001
uid_32101,-1.3677341085599848,Very Good,E,SI1,63.1,56.0,4.37,4.34,2.75,672
uid_10582,0.51,Ideal,D,VS2,61.7,56.0,5.12,5.15,3.17,1633
uid_39086,0.5,Ideal,E,,61.4,57.0,5.11,5.08,3.13,1746
uid_21726,2.5391984412011377,Good,J,VS1,63.7,54.0,,5.71,3.63,-10295
uid_14660,0.34,Premium,D,VS2,59.3,58.0,4.55,4.52,2.69,1033
uid_46719,0.36,Premium,F,SI1,61.1,59.0,4.58,,2.81,600
uid_36686,0.3,Very Good,E,VS2,62.9,58.0,,4.24,2.66,658
uid_42201,1.68,Ideal,G,VS1,62.0,55.0,7.59,7.66,4.73,16985
uid_44109,0.46,Ideal,J,,61.8,56.0,4.97,4.93,3.06,1018
uid_20760,1.0,Very Good,E,VS2,62.8,60.0,6.32,6.36,3.98,6600
uid_20404,1.21,Premium,I,VS2,62.6,59.0,6.77,6.67,4.21,4884
uid_48204,0.83,Premium,J,SI1,62.8,58.0,6.0,5.95,3.75,2311
uid_53937,1.63,Good,F,SI1,59.8,56.0,7.57,7.64,4.55,13187
uid_11385,1.02,Ideal,E,,62.3,56.0,6.42,6.37,3.98,-11200
uid_39845,2.21,Ideal,G,SI2,60.2,60.0,8.38,8.47,5.07,18128
uid_31355,0.28,Very Good,F,IF,62.2,55.0,,4.26,2.64,612
uid_44553,0.5,Ideal,G,VVS1,62.2,54.0,5.1,5.13,3.18,1883
uid_5959,1.18,Ideal,H,,61.2,57.0,6.81,6.86,4.18,5182
uid_44675,0.3,Very Good,I,VS1,61.8,63.0,4.26,4.29,2.64,442
uid_20911,1.07,Premium,F,SI2,58.2,58.0,6.79,6.72,3.93,4319
uid_9112,0.35,Ideal,I,IF,62.7,55.0,4.51,4.55,2.84,778
uid_6529,0.3,Premium,D,SI2,62.3,58.0,4.29,4.32,2.68,447
uid_1107,0.71,Good,E,SI2,62.2,56.0,5.63,5.66,,2390
uid_4410,0.51,Very Good,G,VVS1,63.2,58.0,5.11,,3.22,1971
uid_45954,0.78,Ideal,F,,61.3,57.0,5.91,5.93,3.63,3259
uid_21906,0.6,Fair,F,VVS2,60.1,66.0,5.48,,3.28,-9930
uid_46347,0.71,Premium,G,SI1,62.5,58.0,5.66,5.61,3.52,16553
uid_11267,1.0,Good,H,SI1,63.7,60.0,6.3,6.33,4.02,4702
uid_48491,1.4,Ideal,H,VS2,63.0,56.0,7.13,7.07,4.47,8977
uid_21624,0.9,Very Good,F,SI2,60.3,57.0,6.27,6.34,3.8,3519
uid_26613,0.4,Ideal,F,VVS2,62.8,57.0,4.73,4.66,2.95,1163
uid_30212,0.28,Ideal,F,VVS2,61.8,56.0,4.22,4.26,2.62,642
uid_20650,1.51,Premium,G,SI1,60.5,59.0,7.49,7.41,4.51,11230
uid_12358,0.32,Very Good,G,VS1,62.1,55.0,4.41,4.44,2.75,645
uid_20094,1.15,Premium,D,SI1,61.1,53.0,6.83,6.76,4.15,7213
uid_18475,0.91,Ideal,E,,61.8,53.0,6.22,6.3,3.87,3723
uid_21084,0.54,Ideal,F,SI1,59.8,57.0,5.31,5.29,3.17,1369
uid_13127,0.31,Ideal,E,VVS2,61.0,56.0,4.43,,2.69,1046
uid_9730,0.42,Premium,E,VS1,59.5,59.0,4.86,4.88,2.9,1105
uid_10360,0.91,Very Good,G,SI2,62.1,55.0,6.16,6.21,3.84,3287
uid_43199,0.59,Ideal,D,SI1,61.3,59.0,5.36,5.4,3.3,1793
uid_5603,0.6,Very Good,I,VVS2,63.7,57.4,5.36,5.41,3.42,1565
uid_46027,1.22,Premium,G,,61.2,58.0,6.91,6.81,4.2,7870
uid_34823,1.35,Ideal,J,VS2,61.4,57.0,7.13,7.1,4.37,5969
uid_47399,0.95,Very Good,J,SI1,63.4,55.0,6.25,,3.95,3154
uid_35948,1.01,Premium,H,,61.5,59.0,6.49,6.48,3.99,5400
uid_9099,1.0,Premium,E,,60.0,60.0,6.43,,3.89,6720
uid_2516,0.39,Ideal,H,SI1,61.8,55.0,4.68,4.71,2.9,874
uid_46710,0.39,Premium,J,VS2,61.3,60.0,4.68,4.65,2.86,746
uid_25770,1.0,Good,F,SI2,60.2,65.0,6.38,6.41,,4386
uid_12981,0.59,Ideal,F,SI2,60.1,57.0,5.45,5.49,,1371
uid_41280,1.0,Good,G,VVS2,60.9,56.0,6.49,6.52,3.96,7492
uid_31617,0.32,Ideal,H,SI1,60.6,57.0,4.44,4.4,2.68,576
uid_51323,0.73,Ideal,E,VS1,62.3,56.0,5.8,,3.6,-9678
uid_17643,0.55,Ideal,F,VS2,61.1,57.0,,5.27,3.23,-11344
uid_15412,0.7,Premium,G,VS1,62.6,60.0,5.66,5.58,3.52,2535
uid_26575,-1.9388834105948263,Ideal,D,VS2,62.1,54.0,4.37,4.33,2.7,942
uid_4286,0.41,Very Good,H,SI1,62.9,55.0,4.75,4.82,3.01,683
uid_49660,0.55,Ideal,G,VVS2,60.5,58.0,5.3,5.34,3.22,2016
uid_3024,-0.2766582627260683,Ideal,F,SI1,61.2,57.0,7.48,7.52,,11047
uid_5290,1.2,Very Good,F,VS2,62.4,58.0,6.75,,4.23,8829
uid_2474,-1.1200935101167528,Premium,E,SI1,62.2,58.0,5.26,5.23,3.26,1637
uid_33782,1.13,Premium,J,SI1,61.3,59.0,6.77,6.67,4.12,4214
uid_43211,1.21,Fair,G,,64.5,56.0,6.69,6.62,4.29,4637
uid_25291,1.33,Ideal,G,VS1,62.0,55.0,7.12,7.07,4.4,10539
uid_24073,0.37,Ideal,E,VVS1,61.5,56.0,4.59,4.64,,1103
uid_41463,0.71,Premium,I,SI2,60.3,58.0,5.78,5.72,3.47,1917
uid_43957,0.4,Premium,D,VS1,62.5,60.0,4.66,4.72,,1123
uid_8219,0.9,Good,E,SI2,63.0,58.0,6.08,6.11,3.84,3736
uid_7283,1.01,Very Good,E,VS2,63.2,57.0,6.38,6.35,4.02,6787
uid_44508,0.33,Ideal,H,VVS1,62.1,55.0,4.42,4.44,,752
uid_43806,1.0,Premium,G,SI2,61.8,60.0,6.37,,3.93,18746
uid_12792,1.25,Ideal,G,SI1,60.7,56.0,6.98,7.05,,8226
uid_3196,1.0,Very Good,G,VS2,62.9,56.0,,6.42,3.99,5702
uid_39900,0.31,Premium,G,VS1,60.4,59.0,4.41,4.37,,695
uid_40513,0.31,Very Good,I,VS2,62.3,57.0,4.32,4.35,2.7,435
uid_48430,0.4,Ideal,G,SI2,61.9,54.0,,4.8,2.94,622
uid_5393,1.01,Very Good,F,VVS1,62.1,58.0,6.37,6.41,3.97,9908
uid_33527,0.31,Very Good,E,VS2,61.0,59.0,4.33,4.39,2.66,680
uid_39096,0.32,Ideal,E,VS1,61.8,55.0,4.43,4.4,2.73,-12518
uid_29624,0.4,Very Good,E,SI1,60.9,56.0,4.76,4.8,2.91,737
uid_51431,0.72,Good,G,VS1,58.0,57.8,5.85,5.87,3.4,2958
uid_32796,1.13,Premium,F,VS2,59.8,61.0,6.81,6.76,4.06,6822
uid_41860,0.35,Ideal,G,VS1,60.6,56.0,4.57,4.6,2.78,706
uid_4578,0.53,Ideal,F,VVS2,62.1,56.0,5.15,5.22,3.22,2175
uid_53071,1.0,Very Good,E,SI1,63.3,57.0,6.28,6.32,3.99,5113
uid_48798,2.01,Premium,I,VS1,61.5,62.0,8.07,7.94,4.92,15475
uid_46345,1.01,Ideal,J,SI1,60.5,56.0,6.49,6.53,3.94,3599
uid_24946,0.54,Premium,H,,62.6,59.0,,5.19,3.26,1720
uid_35363,0.32,Ideal,G,VVS2,62.2,55.0,4.43,4.41,2.75,936
uid_30709,1.11,Ideal,E,SI2,61.2,57.0,6.7,6.74,4.11,4969
uid_53899,2.01,Very Good,H,SI1,60.1,60.0,,,,17476
uid_43895,1.52,Premium,D,SI2,60.6,62.0,7.42,7.37,4.48,9561
uid_25104,0.46,Ideal,H,SI1,61.2,56.0,4.99,5.04,3.07,1039
uid_7231,2.0,Ideal,H,VS2,60.5,56.0,8.34,8.22,,13320
uid_18655,1.04,Premium,I,SI1,61.8,60.0,6.47,6.51,4.01,4290
uid_46453,0.54,Ideal,D,VS2,61.1,57.0,5.19,5.29,3.2,15940
uid_45964,0.7,Good,E,SI1,62.7,61.0,5.59,5.67,3.53,2239
uid_28331,1.05,Premium,E,VS2,62.1,58.0,6.54,6.5,4.05,7056
uid_38262,0.54,Ideal,F,SI1,61.5,55.0,5.23,5.28,3.23,1260
uid_47371,1.01,Good,G,SI2,62.8,61.0,6.31,6.37,3.98,4210
uid_2180,0.32,Premium,H,SI1,61.8,56.0,4.43,4.4,2.73,591
uid_33487,0.31,Premium,I,VS2,62.3,60.0,,4.32,2.69,435
uid_1772,1.0,Very Good,E,SI1,62.4,59.0,6.36,6.42,3.99,5571
uid_23586,0.75,Ideal,I,VS1,61.1,59.0,,5.87,3.58,2659
uid_418,1.1,Ideal,F,,61.8,56.0,6.65,6.61,4.1,3745
uid_9564,0.34,Ideal,G,VS2,61.0,57.0,4.5,4.48,,765
uid_10513,0.03297581159167562,Good,F,SI2,62.6,64.0,,7.19,4.52,8820
uid_25040,0.4,Very Good,D,SI1,60.3,62.0,4.7,4.75,2.85,720
uid_20554,1.0,Very Good,G,SI2,62.8,57.0,6.31,6.37,3.98,4207
uid_41537,0.3,Ideal,E,VS1,60.7,57.0,4.36,4.31,2.63,911
uid_7483,0.56,Ideal,G,SI2,61.9,54.0,5.29,5.34,3.29,1173
uid_8388,-0.8294755169426464,Good,J,VS2,63.8,58.0,5.61,5.58,3.57,1774
uid_51215,2.43,Premium,J,VS2,62.2,57.0,8.63,8.54,5.34,18692
uid_2528,1.01,Very Good,E,,61.9,55.0,6.38,6.44,3.97,6666
uid_50540,0.42,Good,H,SI1,63.1,57.0,4.76,4.78,,700
uid_46652,0.3,Very Good,E,VS1,61.5,57.0,4.28,4.31,2.64,578
uid_27011,0.5,Very Good,H,SI1,63.1,59.0,5.02,4.96,3.15,1181
uid_5113,2.26,Premium,H,SI2,61.3,60.0,8.5,8.43,5.19,15428
uid_46541,-1.235991443810396,Ideal,E,SI1,60.9,57.0,5.73,5.76,3.5,2768
uid_46789,1.01,Ideal,H,SI1,62.6,55.0,6.43,6.39,4.01,4836
uid_27750,1.0,Good,F,SI2,63.7,57.0,6.36,6.32,,3977
uid_7297,0.9,Premium,H,VVS2,62.0,58.0,6.16,6.13,3.81,4355
uid_2093,0.7,Good,H,I1,56.5,57.0,5.97,5.86,3.33,1134
uid_34828,1.64,Ideal,I,VS2,62.5,56.0,,7.52,4.72,10562
uid_44328,1.07,Very Good,E,IF,58.6,63.0,6.7,6.79,3.95,11475
uid_32181,0.79,Good,G,SI1,63.6,57.0,,,3.72,2726
uid_31549,0.74,Ideal,F,VVS1,60.8,60.0,5.82,5.86,3.55,-10147
uid_39496,1.841546766705881,Ideal,F,,61.0,56.0,,4.82,2.93,1115
uid_12994,0.73,Premium,F,VS2,62.3,60.0,5.77,5.73,3.58,2683
